"","Bed","TV","Shy","HrdClm","MClose","MLeave","CID","Male","MEd","Math98","RComp98","Alc12","Cprob1","Cprob2","Cprob3","Class","class1","class2","class3"
"317",0,0,1,0,1,0,784101,0,5,98,107,6,0,0.116,0.884,3,0,0,1
"318",0,0,0,1,1,1,785601,0,12,103,112,1,0,1,0,2,0,1,0
"319",1,1,0,0,1,0,786402,0,12,112,110,7,0.969,0.001,0.03,1,1,0,0
"320",1,1,0,0,0,1,792802,0,15,NA,NA,1,0.999,0.001,0,1,1,0,0
"321",1,1,0,0,1,1,793101,1,9,118,113,NA,0.986,0.014,0,1,1,0,0
"322",0,0,1,1,1,1,794301,0,12,77,110,NA,0,1,0,2,0,1,0
"323",0,0,0,0,0,0,794503,1,10,83,91,6,0,0.001,0.999,3,0,0,1
"324",1,1,1,0,1,0,797402,0,10,110,119,8,0.963,0.003,0.034,1,1,0,0
"325",0,0,1,0,1,0,803401,0,16,112,114,2,0,0.116,0.884,3,0,0,1
"326",0,0,1,0,0,0,804802,1,12,103,95,7,0,0.004,0.996,3,0,0,1
"327",0,1,1,1,1,0,810202,0,6,107,92,5,0.14,0.41,0.45,3,0,0,1
"328",1,1,1,0,1,0,814802,1,12,110,116,NA,0.963,0.003,0.034,1,1,0,0
"329",0,0,1,0,1,0,818101,0,12,93,100,4,0,0.116,0.884,3,0,0,1
"330",1,1,0,1,1,1,819803,0,6,NA,NA,3,0.812,0.188,0,1,1,0,0
"331",1,1,0,1,1,0,821702,1,16,99,102,5,0.922,0.016,0.063,1,1,0,0
"332",0,1,0,0,1,0,825703,1,16,84,96,7,0.424,0.025,0.551,3,0,0,1
"333",0,1,1,1,0,0,825902,0,5,86,88,5,0.198,0.022,0.781,3,0,0,1
"334",0,0,0,0,0,0,826404,1,8,96,96,7,0,0.001,0.999,3,0,0,1
"335",1,1,0,0,0,0,826501,0,12,99,92,3,0.963,0,0.037,1,1,0,0
"336",0,0,1,0,0,0,829604,0,10,65,65,NA,0,0.004,0.996,3,0,0,1
"337",1,0,1,1,1,1,830505,1,6,90,92,6,0,1,0,2,0,1,0
"338",1,1,0,1,1,0,831501,0,12,75,79,1,0.922,0.016,0.063,1,1,0,0
"339",1,0,0,1,1,1,834303,1,13,103,93,8,0,1,0,2,0,1,0
"340",1,0,0,1,0,0,835201,1,14,69,79,7,0,0.008,0.992,3,0,0,1
"341",0,0,1,0,1,0,838302,1,12,100,118,5,0,0.116,0.884,3,0,0,1
"342",0,1,0,0,1,0,840703,0,12,99,93,NA,0.424,0.025,0.551,3,0,0,1
"343",0,1,0,0,0,0,841301,1,12,87,NA,7,0.386,0.001,0.614,3,0,0,1
"344",1,1,0,0,0,0,848804,1,17,108,107,7,0.963,0,0.037,1,1,0,0
"345",1,1,1,0,1,1,849203,1,14,89,116,2,0.957,0.043,0,1,1,0,0
"346",1,1,1,0,0,0,851302,1,14,114,109,2,0.959,0,0.041,1,1,0,0
"347",0,0,0,0,0,0,856104,1,12,103,99,1,0,0.001,0.999,3,0,0,1
"348",1,1,0,1,0,1,860102,0,12,NA,NA,5,0.991,0.009,0,1,1,0,0
"349",0,0,1,1,1,1,861402,0,9,NA,NA,7,0,1,0,2,0,1,0
"350",1,1,1,1,1,0,866403,0,14,112,109,5,0.885,0.046,0.068,1,1,0,0
"351",0,0,1,0,1,0,869004,0,12,88,NA,1,0,0.116,0.884,3,0,0,1
"352",1,0,1,1,1,1,878703,0,11,NA,NA,1,0,1,0,2,0,1,0
"353",0,0,1,1,1,1,885402,0,9,84,105,4,0,1,0,2,0,1,0
"354",1,1,0,0,1,0,889002,0,12,87,98,4,0.969,0.001,0.03,1,1,0,0
"355",1,1,1,0,0,0,894401,1,12,NA,NA,5,0.959,0,0.041,1,1,0,0
"356",1,1,0,0,1,1,895303,0,12,102,102,5,0.986,0.014,0,1,1,0,0
"357",0,0,1,0,1,0,907002,0,12,93,100,1,0,0.116,0.884,3,0,0,1
"358",0,0,0,1,1,0,910002,1,14,105,117,5,0,0.26,0.74,3,0,0,1
"359",0,0,1,1,1,0,913401,1,13,94,121,NA,0,0.49,0.51,3,0,0,1
"360",1,1,1,0,1,0,922301,1,12,103,122,7,0.963,0.003,0.034,1,1,0,0
"361",1,1,1,0,1,0,934903,0,12,89,69,6,0.963,0.003,0.034,1,1,0,0
"362",0,0,0,0,0,0,938001,1,13,105,112,7,0,0.001,0.999,3,0,0,1
"363",0,1,1,0,1,0,938803,0,11,96,96,1,0.377,0.069,0.554,3,0,0,1
"364",0,0,1,1,1,1,952102,0,12,100,111,5,0,1,0,2,0,1,0
"365",0,0,1,1,1,0,976803,1,14,89,95,6,0,0.49,0.51,3,0,0,1
"366",0,0,1,1,1,0,977803,1,11,131,135,7,0,0.49,0.51,3,0,0,1
"367",0,0,1,1,1,0,978902,1,12,119,117,8,0,0.49,0.51,3,0,0,1
"368",0,0,1,1,1,0,979001,1,12,116,100,NA,0,0.49,0.51,3,0,0,1
"369",0,0,0,0,1,0,987002,1,12,110,108,7,0,0.046,0.954,3,0,0,1
"370",0,0,0,1,1,0,988702,1,11,108,89,6,0,0.26,0.74,3,0,0,1
"371",1,1,1,0,1,0,991603,0,6,NA,NA,5,0.963,0.003,0.034,1,1,0,0
