"","Bed","TV","Shy","HrdClm","MClose","MLeave","CID","Male","MEd","Math98","RComp98","Alc12","Cprob1","Cprob2","Cprob3","Class","class1","class2","class3"
"112",0,1,1,1,0,0,249201,0,12,113,95,4,0.198,0.022,0.781,3,0,0,1
"113",1,1,0,0,1,0,250702,0,12,110,113,7,0.969,0.001,0.03,1,1,0,0
"114",0,1,1,0,0,0,251402,0,17,114,97,2,0.356,0.002,0.642,3,0,0,1
"115",1,1,0,1,0,0,251502,1,16,114,115,4,0.922,0.001,0.077,1,1,0,0
"116",1,1,0,0,1,0,253802,1,12,102,114,8,0.969,0.001,0.03,1,1,0,0
"117",0,0,0,1,1,0,256404,0,12,103,108,5,0,0.26,0.74,3,0,0,1
"118",1,0,1,1,1,0,258001,0,12,NA,NA,3,0,0.417,0.583,3,0,0,1
"119",0,0,1,1,1,1,261502,1,12,81,95,5,0,1,0,2,0,1,0
"120",1,1,0,0,0,0,265201,1,12,78,100,6,0.963,0,0.037,1,1,0,0
"121",0,0,1,1,1,0,265501,1,10,69,69,7,0,0.49,0.51,3,0,0,1
"122",1,1,1,1,1,1,265902,0,8,100,102,5,0.582,0.418,0,1,1,0,0
"123",0,0,1,0,1,0,267905,1,11,110,113,1,0,0.116,0.884,3,0,0,1
"124",1,1,1,1,1,1,271002,1,12,99,103,7,0.582,0.418,0,1,1,0,0
"125",1,1,1,1,0,0,273101,1,16,114,109,NA,0.912,0.002,0.086,1,1,0,0
"126",0,0,NA,0,0,0,277502,0,12,100,99,5,0,0.003,0.997,3,0,0,1
"127",0,0,0,1,1,1,282901,1,12,NA,NA,5,0,1,0,2,0,1,0
"128",0,0,NA,0,1,0,290801,0,16,98,116,8,0,0.085,0.915,3,0,0,1
"129",1,1,1,1,1,0,291802,0,12,108,110,7,0.885,0.046,0.068,1,1,0,0
"130",1,1,0,1,1,1,297802,0,12,101,102,7,0.812,0.188,0,1,1,0,0
"131",1,1,0,0,1,0,299302,1,12,79,69,NA,0.969,0.001,0.03,1,1,0,0
"132",1,1,0,1,1,0,301401,1,8,118,88,6,0.922,0.016,0.063,1,1,0,0
"133",0,0,1,1,0,0,304103,1,13,97,84,4,0,0.029,0.971,3,0,0,1
"134",1,1,0,0,0,0,305401,1,12,NA,NA,4,0.963,0,0.037,1,1,0,0
"135",1,1,1,0,1,0,310502,1,11,126,108,8,0.963,0.003,0.034,1,1,0,0
"136",0,0,1,0,0,0,310701,1,15,116,100,8,0,0.004,0.996,3,0,0,1
"137",1,0,0,0,0,0,315401,1,16,126,116,7,0,0.001,0.999,3,0,0,1
"138",0,0,1,0,0,0,315501,0,13,NA,NA,NA,0,0.004,0.996,3,0,0,1
"139",0,0,NA,0,0,0,319002,0,12,98,98,NA,0,0.003,0.997,3,0,0,1
"140",0,1,1,0,1,0,320401,0,12,NA,NA,1,0.377,0.069,0.554,3,0,0,1
"141",1,1,0,1,1,0,322101,0,12,97,99,8,0.922,0.016,0.063,1,1,0,0
"142",1,1,0,0,1,0,324201,1,12,108,116,7,0.969,0.001,0.03,1,1,0,0
"143",1,1,1,0,1,0,324801,1,12,110,131,7,0.963,0.003,0.034,1,1,0,0
"144",1,1,1,0,1,0,328602,1,17,NA,NA,NA,0.963,0.003,0.034,1,1,0,0
"145",1,0,0,0,0,0,336301,1,12,NA,NA,7,0,0.001,0.999,3,0,0,1
"146",1,1,1,1,1,1,336901,0,16,116,114,5,0.582,0.418,0,1,1,0,0
"147",0,1,0,1,0,0,339702,1,12,112,108,6,0.221,0.008,0.771,3,0,0,1
"148",1,1,1,0,0,0,343303,0,16,111,105,8,0.959,0,0.041,1,1,0,0
"149",0,1,0,1,1,1,344704,0,11,69,75,2,0.072,0.928,0,2,0,1,0
"150",1,1,1,0,0,0,346502,0,12,105,116,5,0.959,0,0.041,1,1,0,0
"151",1,0,1,1,1,0,346701,1,12,122,103,7,0,0.417,0.583,3,0,0,1
"152",1,1,1,0,0,0,348103,0,14,115,108,5,0.959,0,0.041,1,1,0,0
"153",0,1,1,0,1,0,351401,1,12,116,121,5,0.377,0.069,0.554,3,0,0,1
"154",0,0,1,1,0,0,352702,1,12,NA,NA,7,0,0.029,0.971,3,0,0,1
"155",0,0,1,1,0,0,352703,0,12,NA,NA,7,0,0.029,0.971,3,0,0,1
"156",1,1,1,0,1,0,354601,0,15,88,97,1,0.963,0.003,0.034,1,1,0,0
"157",1,1,0,0,1,0,354802,1,12,110,102,5,0.969,0.001,0.03,1,1,0,0
"158",0,0,1,0,1,1,356401,1,12,112,95,6,0,1,0,2,0,1,0
"159",0,0,1,1,1,0,356503,0,12,104,99,7,0,0.49,0.51,3,0,0,1
"160",1,1,1,0,1,0,357302,1,12,125,105,9,0.963,0.003,0.034,1,1,0,0
"161",1,1,1,1,1,1,358402,0,12,92,115,5,0.582,0.418,0,1,1,0,0
"162",1,1,1,1,1,0,360501,1,12,113,113,8,0.885,0.046,0.068,1,1,0,0
"163",1,1,1,1,0,0,360502,0,12,120,121,7,0.912,0.002,0.086,1,1,0,0
"164",1,1,1,1,1,0,363302,0,12,110,112,1,0.885,0.046,0.068,1,1,0,0
"165",0,0,0,1,1,0,364903,0,12,112,97,2,0,0.26,0.74,3,0,0,1
"166",1,1,0,0,0,0,365003,1,12,121,99,6,0.963,0,0.037,1,1,0,0
"167",1,1,0,0,0,0,366901,0,16,97,111,8,0.963,0,0.037,1,1,0,0
"168",1,1,0,0,0,0,367402,1,16,NA,NA,NA,0.963,0,0.037,1,1,0,0
"169",0,0,0,0,0,0,368101,0,16,121,114,7,0,0.001,0.999,3,0,0,1
"170",1,1,1,0,1,0,371802,0,15,126,131,5,0.963,0.003,0.034,1,1,0,0
"171",0,0,1,0,1,0,372804,1,11,77,102,6,0,0.116,0.884,3,0,0,1
"172",1,1,1,0,1,0,374101,1,12,126,114,5,0.963,0.003,0.034,1,1,0,0
"173",0,0,1,1,1,1,378402,1,12,79,83,9,0,1,0,2,0,1,0
"174",1,1,0,0,0,0,378702,0,15,108,103,8,0.963,0,0.037,1,1,0,0
"175",0,1,1,0,1,0,378703,0,15,118,108,7,0.377,0.069,0.554,3,0,0,1
"176",0,1,1,1,1,1,379802,0,16,114,126,5,0.024,0.976,0,2,0,1,0
"177",0,1,0,0,0,0,380601,1,14,117,113,7,0.386,0.001,0.614,3,0,0,1
"178",1,0,1,0,1,0,383903,0,9,107,96,5,0,0.089,0.911,3,0,0,1
"179",1,1,0,0,0,0,387703,1,15,135,114,6,0.963,0,0.037,1,1,0,0
"180",1,1,1,1,1,0,389901,1,14,NA,NA,9,0.885,0.046,0.068,1,1,0,0
"181",1,1,0,0,1,0,393105,1,11,NA,NA,9,0.969,0.001,0.03,1,1,0,0
"182",0,0,1,1,1,1,393602,1,12,NA,NA,7,0,1,0,2,0,1,0
"183",0,0,0,1,1,0,394804,1,9,80,85,7,0,0.26,0.74,3,0,0,1
"184",1,0,0,0,1,0,399102,1,9,NA,NA,NA,0,0.035,0.965,3,0,0,1
"185",1,1,0,0,1,0,403701,1,14,102,113,5,0.969,0.001,0.03,1,1,0,0
"186",1,1,0,0,0,0,408403,0,17,NA,NA,4,0.963,0,0.037,1,1,0,0
"187",1,1,0,0,1,0,411502,1,10,NA,NA,NA,0.969,0.001,0.03,1,1,0,0
"188",0,0,1,1,1,0,413203,0,14,94,89,5,0,0.49,0.51,3,0,0,1
"189",0,1,1,0,1,1,415301,0,15,110,112,6,0.285,0.715,0,2,0,1,0
"190",1,1,0,0,0,0,419502,0,12,108,122,1,0.963,0,0.037,1,1,0,0
"191",1,0,1,1,1,0,420602,0,12,123,84,1,0,0.417,0.583,3,0,0,1
"192",0,0,0,0,0,0,421204,0,14,102,88,1,0,0.001,0.999,3,0,0,1
"193",1,1,0,1,0,0,422001,0,10,108,104,6,0.922,0.001,0.077,1,1,0,0
"194",1,1,1,0,1,0,429002,1,19,87,126,7,0.963,0.003,0.034,1,1,0,0
"195",1,1,1,0,0,0,429402,1,12,118,117,7,0.959,0,0.041,1,1,0,0
"196",1,1,0,0,1,0,436601,0,14,104,105,3,0.969,0.001,0.03,1,1,0,0
"197",0,0,1,0,1,1,437102,1,12,118,92,4,0,1,0,2,0,1,0
"198",1,1,1,0,1,0,437803,1,12,117,102,7,0.963,0.003,0.034,1,1,0,0
"199",0,0,1,1,1,0,447302,1,11,89,99,NA,0,0.49,0.51,3,0,0,1
"200",0,0,1,0,1,1,453704,1,11,81,105,7,0,1,0,2,0,1,0
"201",0,0,1,1,1,1,455702,0,11,65,65,2,0,1,0,2,0,1,0
"202",0,0,0,1,0,0,458501,1,9,101,116,6,0,0.011,0.989,3,0,0,1
"203",0,0,0,1,1,0,459402,0,12,84,98,7,0,0.26,0.74,3,0,0,1
"204",1,1,0,0,0,0,460002,0,12,108,89,NA,0.963,0,0.037,1,1,0,0
"205",0,1,1,1,1,0,465001,0,16,NA,NA,7,0.14,0.41,0.45,3,0,0,1
"206",0,0,0,0,1,0,465101,0,13,98,100,NA,0,0.046,0.954,3,0,0,1
"207",1,1,1,0,1,0,465703,0,12,102,98,1,0.963,0.003,0.034,1,1,0,0
"208",1,1,1,1,1,0,472302,1,16,119,NA,5,0.885,0.046,0.068,1,1,0,0
"209",1,1,0,0,1,0,472602,0,16,91,90,1,0.969,0.001,0.03,1,1,0,0
"210",0,0,1,1,1,1,474103,1,9,NA,NA,6,0,1,0,2,0,1,0
"211",0,0,1,0,1,0,475301,1,16,119,111,7,0,0.116,0.884,3,0,0,1
"212",1,1,1,0,1,0,479601,1,12,97,104,7,0.963,0.003,0.034,1,1,0,0
"213",0,0,1,1,1,0,484902,0,12,NA,NA,5,0,0.49,0.51,3,0,0,1
"214",0,0,0,1,0,0,487101,1,16,104,105,1,0,0.011,0.989,3,0,0,1
"215",1,1,1,0,1,0,489302,1,12,NA,NA,NA,0.963,0.003,0.034,1,1,0,0
"216",1,0,1,1,1,0,493802,1,13,108,113,NA,0,0.417,0.583,3,0,0,1
"217",0,0,1,0,0,0,497304,1,15,116,104,1,0,0.004,0.996,3,0,0,1
"218",1,1,0,0,1,0,498401,0,12,115,111,NA,0.969,0.001,0.03,1,1,0,0
"219",0,1,0,1,1,0,501502,1,12,116,96,NA,0.208,0.198,0.594,3,0,0,1
"220",1,1,1,0,0,0,504102,0,12,128,113,2,0.959,0,0.041,1,1,0,0
"221",1,1,0,0,0,0,512701,1,14,116,83,7,0.963,0,0.037,1,1,0,0
"222",0,1,1,1,0,0,516201,0,12,128,116,7,0.198,0.022,0.781,3,0,0,1
"223",1,1,0,0,0,0,521401,1,17,115,123,NA,0.963,0,0.037,1,1,0,0
"224",1,1,0,0,1,0,523301,1,12,NA,NA,3,0.969,0.001,0.03,1,1,0,0
"225",1,1,0,0,1,1,525601,1,13,82,65,7,0.986,0.014,0,1,1,0,0
"226",1,1,0,0,0,0,527203,1,12,105,88,2,0.963,0,0.037,1,1,0,0
"227",0,0,1,0,0,0,527701,1,12,104,96,8,0,0.004,0.996,3,0,0,1
"228",1,1,1,0,0,0,529902,0,16,110,110,2,0.959,0,0.041,1,1,0,0
"229",0,0,NA,0,1,0,530501,1,12,97,95,4,0,0.085,0.915,3,0,0,1
"230",1,1,1,0,1,0,531503,1,14,NA,NA,7,0.963,0.003,0.034,1,1,0,0
"231",1,0,0,1,1,0,532802,1,12,110,69,6,0,0.207,0.793,3,0,0,1
"232",1,1,0,0,1,1,533205,0,15,105,103,1,0.986,0.014,0,1,1,0,0
"233",1,1,1,0,1,1,534102,0,16,NA,NA,NA,0.957,0.043,0,1,1,0,0
"234",0,0,1,1,1,0,539703,1,15,97,107,6,0,0.49,0.51,3,0,0,1
"235",1,1,1,0,0,0,543405,1,12,NA,NA,8,0.959,0,0.041,1,1,0,0
"236",0,0,0,0,1,1,546703,1,12,79,81,7,0,1,0,2,0,1,0
"237",0,1,0,0,1,0,553702,0,12,94,92,1,0.424,0.025,0.551,3,0,0,1
"238",0,0,1,1,1,0,555002,0,12,105,92,2,0,0.49,0.51,3,0,0,1
"239",0,0,1,1,0,0,557601,0,10,104,96,1,0,0.029,0.971,3,0,0,1
"240",1,1,1,0,0,0,558903,1,9,110,75,NA,0.959,0,0.041,1,1,0,0
"241",0,0,1,1,1,1,560503,0,10,NA,NA,1,0,1,0,2,0,1,0
"242",0,0,1,1,1,1,562601,1,12,114,121,5,0,1,0,2,0,1,0
"243",1,1,0,0,0,1,563102,0,13,107,84,1,0.999,0.001,0,1,1,0,0
"244",0,1,1,1,1,1,565201,1,12,102,100,NA,0.024,0.976,0,2,0,1,0
"245",0,0,1,1,0,0,572903,0,13,96,110,NA,0,0.029,0.971,3,0,0,1
"246",0,0,0,1,1,0,577402,0,10,82,90,1,0,0.26,0.74,3,0,0,1
"247",0,1,1,0,1,0,580903,1,14,NA,NA,5,0.377,0.069,0.554,3,0,0,1
"248",0,0,NA,1,1,0,582003,1,15,69,69,5,0,0.405,0.595,3,0,0,1
"249",0,0,0,0,1,1,588302,1,12,87,92,NA,0,1,0,2,0,1,0
"250",1,0,0,0,0,0,590603,1,10,98,93,6,0,0.001,0.999,3,0,0,1
